"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 25 06:03:54 GMT 2025","Wed Jun 25 06:04:18 GMT 2025","23892","Social Registry Sanity Test Suite","Sanity Suite","testcase.RegistrantTagsTest","testcase.RegistrantTagsTest","registrantTagDeletion","registrantTagDeletion",""
"passed","Wed Jun 25 05:58:08 GMT 2025","Wed Jun 25 05:58:30 GMT 2025","21873","Social Registry Sanity Test Suite","Sanity Suite","testcase.GroupMembershipKindTest","testcase.GroupMembershipKindTest","groupMembershipKindUpdation","groupMembershipKindUpdation",""
"passed","Wed Jun 25 05:56:54 GMT 2025","Wed Jun 25 05:57:16 GMT 2025","22059","Social Registry Sanity Test Suite","Sanity Suite","testcase.IndividualTest","testcase.IndividualTest","individualUpdation","individualUpdation",""
"passed","Wed Jun 25 05:55:19 GMT 2025","Wed Jun 25 05:55:40 GMT 2025","21665","Social Registry Sanity Test Suite","Sanity Suite","testcase.RegionTest","testcase.RegionTest","regionCreation","regionCreation",""
"passed","Wed Jun 25 05:58:32 GMT 2025","Wed Jun 25 05:58:52 GMT 2025","19788","Social Registry Sanity Test Suite","Sanity Suite","testcase.GroupTypeTest","testcase.GroupTypeTest","groupTypeUpdation","groupTypeUpdation",""
"passed","Wed Jun 25 06:00:50 GMT 2025","Wed Jun 25 06:01:14 GMT 2025","24140","Social Registry Sanity Test Suite","Sanity Suite","testcase.IndividualTest","testcase.IndividualTest","individualDeletion","individualDeletion",""
"passed","Wed Jun 25 06:04:47 GMT 2025","Wed Jun 25 06:05:12 GMT 2025","25601","Social Registry Sanity Test Suite","Sanity Suite","testcase.DistrictConfigTest","testcase.DistrictConfigTest","districtConfigDeletion","districtConfigDeletion",""
"passed","Wed Jun 25 05:52:34 GMT 2025","Wed Jun 25 05:52:48 GMT 2025","13961","Social Registry Sanity Test Suite","Sanity Suite","testcase.LoginPageTest","testcase.LoginPageTest","loginTest","loginTest",""
"passed","Wed Jun 25 06:04:21 GMT 2025","Wed Jun 25 06:04:45 GMT 2025","23934","Social Registry Sanity Test Suite","Sanity Suite","testcase.RelationshipTest","testcase.RelationshipTest","relationshipDeletion","relationshipDeletion",""
"passed","Wed Jun 25 06:02:11 GMT 2025","Wed Jun 25 06:02:35 GMT 2025","23656","Social Registry Sanity Test Suite","Sanity Suite","testcase.GroupMembershipKindTest","testcase.GroupMembershipKindTest","groupMembershipKindDeletion","groupMembershipKindDeletion",""
"passed","Wed Jun 25 05:54:55 GMT 2025","Wed Jun 25 05:55:16 GMT 2025","21459","Social Registry Sanity Test Suite","Sanity Suite","testcase.IdTypeTest","testcase.IdTypeTest","idTypeCreation","idTypeCreation",""
"passed","Wed Jun 25 05:52:50 GMT 2025","Wed Jun 25 05:53:14 GMT 2025","23627","Social Registry Sanity Test Suite","Sanity Suite","testcase.IndividualTest","testcase.IndividualTest","individualCreation","individualCreation",""
"passed","Wed Jun 25 05:57:45 GMT 2025","Wed Jun 25 05:58:05 GMT 2025","20339","Social Registry Sanity Test Suite","Sanity Suite","testcase.GenderTypeTest","testcase.GenderTypeTest","genderTypeUpdation","genderTypeUpdation",""
"passed","Wed Jun 25 05:55:43 GMT 2025","Wed Jun 25 05:56:04 GMT 2025","21358","Social Registry Sanity Test Suite","Sanity Suite","testcase.RegistrantTagsTest","testcase.RegistrantTagsTest","registrantTagCreation","registrantTagCreation",""
"passed","Wed Jun 25 05:57:19 GMT 2025","Wed Jun 25 05:57:42 GMT 2025","23841","Social Registry Sanity Test Suite","Sanity Suite","testcase.GroupTest","testcase.GroupTest","groupUpdation","groupUpdation",""
"passed","Wed Jun 25 05:59:18 GMT 2025","Wed Jun 25 05:59:39 GMT 2025","21030","Social Registry Sanity Test Suite","Sanity Suite","testcase.RegionTest","testcase.RegionTest","regionUpdation","regionUpdation",""
"passed","Wed Jun 25 06:03:29 GMT 2025","Wed Jun 25 06:03:52 GMT 2025","23277","Social Registry Sanity Test Suite","Sanity Suite","testcase.RegionTest","testcase.RegionTest","regionDeletion","regionDeletion",""
"passed","Wed Jun 25 06:01:43 GMT 2025","Wed Jun 25 06:02:09 GMT 2025","25683","Social Registry Sanity Test Suite","Sanity Suite","testcase.GenderTypeTest","testcase.GenderTypeTest","genderTypeDeletion","genderTypeDeletion",""
"passed","Wed Jun 25 05:58:55 GMT 2025","Wed Jun 25 05:59:15 GMT 2025","20635","Social Registry Sanity Test Suite","Sanity Suite","testcase.IdTypeTest","testcase.IdTypeTest","idTypeUpdation","idTypeUpdation",""
"passed","Wed Jun 25 05:54:30 GMT 2025","Wed Jun 25 05:54:53 GMT 2025","22390","Social Registry Sanity Test Suite","Sanity Suite","testcase.GroupTypeTest","testcase.GroupTypeTest","groupTypeCreation","groupTypeCreation",""
"passed","Wed Jun 25 06:02:37 GMT 2025","Wed Jun 25 06:03:00 GMT 2025","22883","Social Registry Sanity Test Suite","Sanity Suite","testcase.GroupTypeTest","testcase.GroupTypeTest","groupTypeDeletion","groupTypeDeletion",""
"passed","Wed Jun 25 05:54:08 GMT 2025","Wed Jun 25 05:54:28 GMT 2025","19829","Social Registry Sanity Test Suite","Sanity Suite","testcase.GroupMembershipKindTest","testcase.GroupMembershipKindTest","groupMembershipKindCreation","groupMembershipKindCreation",""
"passed","Wed Jun 25 05:52:08 GMT 2025","Wed Jun 25 05:52:32 GMT 2025","23968","Social Registry Sanity Test Suite","Sanity Suite","testcase.LoginPageTest","testcase.LoginPageTest","resetPassword","resetPassword",""
"passed","Wed Jun 25 06:01:16 GMT 2025","Wed Jun 25 06:01:41 GMT 2025","25385","Social Registry Sanity Test Suite","Sanity Suite","testcase.GroupTest","testcase.GroupTest","groupDeletion","groupDeletion",""
"passed","Wed Jun 25 05:56:07 GMT 2025","Wed Jun 25 05:56:29 GMT 2025","21813","Social Registry Sanity Test Suite","Sanity Suite","testcase.RelationshipTest","testcase.RelationshipTest","relationshipsCreation","relationshipsCreation",""
"passed","Wed Jun 25 05:53:16 GMT 2025","Wed Jun 25 05:53:41 GMT 2025","25546","Social Registry Sanity Test Suite","Sanity Suite","testcase.GroupTest","testcase.GroupTest","groupCreation","groupCreation",""
"passed","Wed Jun 25 05:53:43 GMT 2025","Wed Jun 25 05:54:06 GMT 2025","22504","Social Registry Sanity Test Suite","Sanity Suite","testcase.GenderTypeTest","testcase.GenderTypeTest","genderTypeCreation","genderTypeCreation",""
"passed","Wed Jun 25 05:56:31 GMT 2025","Wed Jun 25 05:56:52 GMT 2025","20783","Social Registry Sanity Test Suite","Sanity Suite","testcase.DistrictConfigTest","testcase.DistrictConfigTest","districtConfigCreation","districtConfigCreation",""
"passed","Wed Jun 25 06:03:02 GMT 2025","Wed Jun 25 06:03:26 GMT 2025","23994","Social Registry Sanity Test Suite","Sanity Suite","testcase.IdTypeTest","testcase.IdTypeTest","idTypeDeletion","idTypeDeletion",""
"passed","Wed Jun 25 06:00:05 GMT 2025","Wed Jun 25 06:00:26 GMT 2025","20902","Social Registry Sanity Test Suite","Sanity Suite","testcase.RelationshipTest","testcase.RelationshipTest","relationshipUpdation","relationshipUpdation",""
"passed","Wed Jun 25 06:00:28 GMT 2025","Wed Jun 25 06:00:47 GMT 2025","19520","Social Registry Sanity Test Suite","Sanity Suite","testcase.DistrictConfigTest","testcase.DistrictConfigTest","districtConfigUpdation","districtConfigUpdation",""
