"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Jul 15 07:30:39 GMT 2025","Tue Jul 15 07:30:54 GMT 2025","15227","Social Registry Sanity Test Suite","Sanity Suite","testcase.GroupTypeTest","testcase.GroupTypeTest","groupTypeUpdation","groupTypeUpdation",""
"skipped","Tue Jul 15 07:31:53 GMT 2025","Tue Jul 15 07:31:53 GMT 2025","0","Social Registry Sanity Test Suite","Sanity Suite","testcase.GroupMembershipKindTest","testcase.GroupMembershipKindTest","groupMembershipKindDeletion","groupMembershipKindDeletion",""
"passed","Tue Jul 15 07:29:51 GMT 2025","Tue Jul 15 07:30:14 GMT 2025","22942","Social Registry Sanity Test Suite","Sanity Suite","testcase.RegistrantTagsTest","testcase.RegistrantTagsTest","registrantTagCreation","registrantTagCreation",""
"passed","Tue Jul 15 07:30:34 GMT 2025","Tue Jul 15 07:30:57 GMT 2025","23207","Social Registry Sanity Test Suite","Sanity Suite","testcase.GroupTest","testcase.GroupTest","groupUpdation","groupUpdation",""
"skipped","Tue Jul 15 07:30:37 GMT 2025","Tue Jul 15 07:30:37 GMT 2025","0","Social Registry Sanity Test Suite","Sanity Suite","testcase.GroupMembershipKindTest","testcase.GroupMembershipKindTest","groupMembershipKindUpdation","groupMembershipKindUpdation",""
"passed","Tue Jul 15 07:31:55 GMT 2025","Tue Jul 15 07:32:20 GMT 2025","25022","Social Registry Sanity Test Suite","Sanity Suite","testcase.RegionTest","testcase.RegionTest","regionDeletion","regionDeletion",""
"passed","Tue Jul 15 07:31:34 GMT 2025","Tue Jul 15 07:31:52 GMT 2025","18208","Social Registry Sanity Test Suite","Sanity Suite","testcase.DistrictConfigTest","testcase.DistrictConfigTest","districtConfigUpdation","districtConfigUpdation",""
"broken","Tue Jul 15 07:29:10 GMT 2025","Tue Jul 15 07:29:25 GMT 2025","15258","Social Registry Sanity Test Suite","Sanity Suite","testcase.GroupMembershipKindTest","testcase.GroupMembershipKindTest","groupMembershipKindCreation","groupMembershipKindCreation",""
"passed","Tue Jul 15 07:28:46 GMT 2025","Tue Jul 15 07:28:59 GMT 2025","13067","Social Registry Sanity Test Suite","Sanity Suite","testcase.LoginPageTest","testcase.LoginPageTest","loginTest","loginTest",""
"passed","Tue Jul 15 07:30:10 GMT 2025","Tue Jul 15 07:30:31 GMT 2025","21579","Social Registry Sanity Test Suite","Sanity Suite","testcase.RelationshipTest","testcase.RelationshipTest","relationshipsCreation","relationshipsCreation",""
